Contig_ID,Linkage_Group,Location_Used_Map_Creation,Location_SCL
G3_NODE_2684590_length_3386_cov_7.212049,GR13,9.344,
G3_NODE_1184980_length_459_cov_9.642701,GR14,9.358,
G3_NODE_26732_length_4723_cov_11.704637,GR10,9.478,
G3_NODE_1281528_length_371_cov_13.948787,GR10,9.958,
G3_NODE_626787_length_4073_cov_7.249693,GR19,10.013,
G3_NODE_314798_length_621_cov_14.983897,GR8,10.044,
G3_NODE_761871_length_2628_cov_8.788813,GR13,10.2,
G3_NODE_1964795_length_475_cov_7.858947,GR5,10.517,
G3_NODE_4401621_length_222_cov_7.981982,GR13,10.572,
G3_NODE_2847594_length_3691_cov_7.760499,GR10,10.646,
G3_NODE_3062407_length_97_cov_9.505155,GR6,10.651,
G3_NODE_499119_length_1197_cov_56.953217,GR10,11.142,
G3_NODE_2114590_length_5390_cov_6.480519,GR20,11.336,
G3_NODE_135016_length_2568_cov_10.314642,GR2,11.391,
G3_NODE_2800569_length_384_cov_9.398438,GR12,11.525,
G3_NODE_3435184_length_3151_cov_8.801650,GR13,12.059,
G3_NODE_3977177_length_2408_cov_7.504153,GR10,12.117,
G3_NODE_1267280_length_1038_cov_6.361272,GR15,12.129,
G3_NODE_5551420_length_4440_cov_7.240541,GR4,12.369,
G3_NODE_3906111_length_1791_cov_6.378560,GR5,12.54,
G3_NODE_19547_length_2731_cov_11.117539,GR7,12.602,
G3_NODE_3882238_length_3609_cov_7.490718,GR16,12.96,
G3_NODE_2252005_length_1500_cov_8.864667,GR5,12.968,
G3_NODE_417810_length_861_cov_10.089431,GR6,13.097,
G3_NODE_892166_length_578_cov_6.463668,GR19,13.169,
G3_NODE_3087323_length_3882_cov_7.453374,GR1,13.212,
G3_NODE_2682187_length_4277_cov_8.187281,GR2,13.392,
G3_NODE_4628344_length_3223_cov_7.033509,GR10,13.556,
G3_NODE_2598948_length_1079_cov_10.274328,GR8,13.635,
G3_NODE_400255_length_1243_cov_9.893001,GR12,13.822,
G3_NODE_2629773_length_2887_cov_8.430551,GR13,14.009,
G3_NODE_3385547_length_583_cov_9.691252,GR2,14.014,
G3_NODE_3714520_length_2013_cov_7.854943,GR3,14.217,
G3_NODE_900683_length_194_cov_8.082474,GR5,14.331,
G3_NODE_6030069_length_3196_cov_8.014393,GR5,14.411,
G3_NODE_3060262_length_3638_cov_6.989555,GR7,14.432,
G3_NODE_968974_length_3793_cov_10.051938,GR10,14.468,
G3_NODE_4052225_length_1483_cov_6.347269,GR13,14.871,
G3_NODE_2780210_length_476_cov_13.035714,GR11,15.067,
G3_NODE_4356022_length_2042_cov_8.226249,GR13,15.094,
G3_NODE_2964096_length_171_cov_17.222221,GR9,15.175,
G3_NODE_1636802_length_584_cov_11.087329,GR12,15.255,
G3_NODE_2241759_length_1880_cov_6.852660,GR19,15.419,
G3_NODE_4998853_length_1008_cov_8.012897,GR5,15.444,
G3_NODE_2906867_length_2319_cov_7.043122,GR10,15.489,
G3_NODE_1172662_length_805_cov_13.168944,GR16,16.012,
G3_NODE_4403770_length_98_cov_20.989796,GR13,16.153,
G3_NODE_1069653_length_3106_cov_7.304894,GR5,16.156,
G3_NODE_1559192_length_760_cov_12.207894,GR7,16.235,
G3_NODE_859611_length_613_cov_15.190865,GR5,16.367,
G3_NODE_730888_length_5067_cov_8.373988,GR13,16.678,
G3_NODE_997406_length_2030_cov_9.234483,GR13,17.014,
G3_NODE_5161530_length_1200_cov_8.950833,GR11,17.028,
G3_NODE_5822743_length_2283_cov_9.201489,GR15,17.033,
G3_NODE_1447425_length_465_cov_8.281720,GR14,17.112,
G3_NODE_433198_length_2116_cov_8.437145,GR5,17.128,
G3_NODE_1063958_length_4769_cov_8.239253,GR5,17.153,
G3_NODE_3669180_length_1768_cov_6.064480,GR8,17.231,
G3_NODE_2297581_length_1597_cov_6.791484,GR12,17.342,
G3_NODE_810884_length_266_cov_15.157895,GR20,17.436,
G3_NODE_4926971_length_3332_cov_7.294718,GR5,17.481,
G3_NODE_1064257_length_1294_cov_7.139876,GR7,17.552,
G3_NODE_3177576_length_4851_cov_8.258503,GR10,17.638,
G3_NODE_2936100_length_311_cov_12.411575,GR12,17.966,
G3_NODE_843603_length_644_cov_7.234472,GR6,17.985,
G3_NODE_2787636_length_490_cov_3.330612,GR20,18.103,
G3_NODE_190278_length_911_cov_5.160264,GR5,18.12,
G3_NODE_727588_length_2817_cov_8.493788,GR13,18.225,
G3_NODE_1657993_length_734_cov_10.279291,GR1,18.329,
G3_NODE_3784073_length_1710_cov_6.902339,GR10,18.352,
G3_NODE_864522_length_1815_cov_9.409367,GR19,18.482,
G3_NODE_2182936_length_487_cov_11.453798,GR19,18.821,
G3_NODE_163470_length_998_cov_17.219439,GR5,18.874,
G3_NODE_2475123_length_1809_cov_8.077944,GR15,18.959,
G3_NODE_3850095_length_289_cov_9.826989,GR10,19.005,
G3_NODE_4216117_length_3627_cov_6.850841,GR5,19.169,
G3_NODE_2197840_length_213_cov_14.953052,GR6,19.178,
G3_NODE_1879905_length_1613_cov_9.261004,GR20,19.216,
G3_NODE_4981866_length_448_cov_13.113839,GR12,19.23,
G3_NODE_461290_length_718_cov_8.227019,GR7,19.339,
G3_NODE_299541_length_1253_cov_7.973663,GR13,19.351,
G3_NODE_3190907_length_315_cov_5.596826,GR16,19.491,
G3_NODE_1778411_length_245_cov_23.579592,GR13,19.56,
G3_NODE_4499423_length_1172_cov_6.169795,GR5,19.639,
G3_NODE_1796136_length_207_cov_14.753623,GR12,19.762,
G3_NODE_772905_length_101_cov_25.554455,GR12,19.812,
G3_NODE_3660830_length_178_cov_12.421349,GR4,19.816,
G3_NODE_1486879_length_4024_cov_8.684642,GR1,19.969,
G3_NODE_2291640_length_1045_cov_21.657415,GR18,20.048,
G3_NODE_102101_length_577_cov_7.048527,GR5,20.345,
G3_NODE_2582872_length_478_cov_14.516736,GR16,20.395,
G3_NODE_1875959_length_2360_cov_6.294915,GR7,20.601,
G3_NODE_2295464_length_1115_cov_8.095067,GR10,20.709,
G3_NODE_3329556_length_4224_cov_8.485559,GR5,20.709,
G3_NODE_5133803_length_115_cov_5.234783,GR20,21.013,
G3_NODE_4413482_length_5507_cov_6.030143,GR10,21.014,
G3_NODE_3742717_length_3103_cov_6.152433,GR6,21.015,
G3_NODE_3303538_length_1601_cov_5.677077,GR5,21.264,
G3_NODE_4800421_length_2614_cov_6.065034,GR10,21.285,
G3_NODE_578543_length_1252_cov_9.782747,GR15,21.384,
G3_NODE_943262_length_1288_cov_11.760870,GR8,21.563,
G3_NODE_2371323_length_1006_cov_5.322068,GR20,21.631,
G3_NODE_5134920_length_2518_cov_7.560762,GR20,21.703,
G3_NODE_2670217_length_3131_cov_7.864899,GR19,21.718,
G3_NODE_5639759_length_2065_cov_9.234383,GR5,21.743,
G3_NODE_998274_length_4326_cov_9.742256,GR3,21.841,
G3_NODE_1525815_length_1758_cov_9.352674,GR5,21.919,
G3_NODE_165279_length_1413_cov_5.969568,GR7,21.995,
G3_NODE_5131979_length_2046_cov_5.996579,GR16,22.044,
G3_NODE_2054444_length_434_cov_7.970046,GR18,22.191,
G3_NODE_1894913_length_2893_cov_7.803664,GR9,22.607,
G3_NODE_1346719_length_5604_cov_8.478230,GR11,22.639,
G3_NODE_1003302_length_2390_cov_9.457322,GR10,22.674,
G3_NODE_4049048_length_2619_cov_6.072547,GR5,22.788,
G3_NODE_696452_length_1156_cov_13.562284,GR16,22.813,
G3_NODE_1925811_length_3891_cov_8.501927,GR19,22.819,
G3_NODE_1496200_length_2909_cov_9.105878,GR10,22.986,
G3_NODE_2776412_length_4457_cov_8.240072,GR2,23.192,
G3_NODE_4464371_length_74_cov_67.567566,GR20,23.23,
G3_NODE_2470372_length_3179_cov_7.782007,GR10,23.424,
G3_NODE_2123673_length_1199_cov_7.436197,GR13,23.467,
G3_NODE_3050447_length_3579_cov_7.107013,GR5,23.796,
G3_NODE_890808_length_1093_cov_11.971638,GR14,23.86,
G3_NODE_3453515_length_3281_cov_8.713807,GR10,23.951,
G3_NODE_837269_length_895_cov_11.386592,GR5,24.046,
G3_NODE_1847976_length_97_cov_21.422680,GR10,24.185,
G3_NODE_1083229_length_357_cov_8.050420,GR3,24.439,
G3_NODE_2954470_length_1222_cov_5.490998,GR19,24.515,
G3_NODE_2553049_length_623_cov_11.648475,GR5,24.593,
G3_NODE_1408079_length_3099_cov_8.285254,GR7,24.725,
G3_NODE_2737399_length_8754_cov_9.240576,GR6,24.738,
G3_NODE_4292709_length_2280_cov_7.465789,GR2,24.767,
G3_NODE_1075610_length_2225_cov_9.087641,GR18,24.851,
G3_NODE_2956037_length_2169_cov_6.395574,GR20,24.891,
G3_NODE_5099497_length_4877_cov_8.043264,GR12,24.923,
G3_NODE_1437442_length_3054_cov_7.407007,GR1,24.925,
G3_NODE_2199530_length_2883_cov_9.502602,GR13,25.038,
G3_NODE_2711676_length_5114_cov_7.825381,GR10,25.139,
G3_NODE_4212422_length_706_cov_4.080737,GR7,25.237,
G3_NODE_3225260_length_2267_cov_6.923246,GR15,25.29,
G3_NODE_1530205_length_88_cov_16.318182,GR7,25.535,
G3_NODE_5116027_length_1536_cov_7.534505,GR8,25.577,
G3_NODE_532262_length_801_cov_10.036204,GR20,25.674,
G3_NODE_3386405_length_3069_cov_6.603454,GR10,25.741,
G3_NODE_5823587_length_3071_cov_7.138066,GR5,25.8,
G3_NODE_1691764_length_308_cov_20.577923,GR17,25.894,
G3_NODE_1542923_length_1895_cov_10.968338,GR5,25.897,
G3_NODE_746400_length_1080_cov_13.441667,GR12,25.947,
G3_NODE_1385847_length_1064_cov_5.757519,GR2,26.01,
G3_NODE_2581673_length_576_cov_13.963542,GR7,26.322,
G3_NODE_5457307_length_66_cov_4.803030,GR9,26.484,
G3_NODE_14610_length_370_cov_11.262162,GR20,26.488,
G3_NODE_1537520_length_5896_cov_8.211669,GR16,26.699,
G3_NODE_749404_length_707_cov_12.915134,GR6,26.762,
G3_NODE_2779235_length_1615_cov_10.462539,GR7,26.802,
G3_NODE_2295737_length_782_cov_8.115089,GR12,26.845,
G3_NODE_1940393_length_724_cov_9.013812,GR13,27.075,
G3_NODE_957549_length_692_cov_7.839595,GR16,27.161,
G3_NODE_591322_length_501_cov_11.786427,GR7,27.312,
G3_NODE_1184727_length_2321_cov_7.813873,GR15,27.314,
G3_NODE_5009542_length_3760_cov_9.060638,GR10,27.411,
G3_NODE_3789051_length_1981_cov_8.228672,GR8,27.567,
G3_NODE_1257496_length_1076_cov_7.793680,GR6,27.642,
G3_NODE_4501158_length_1907_cov_8.696382,GR7,27.888,
G3_NODE_1086656_length_3180_cov_8.123270,GR7,28.06,
G3_NODE_1144631_length_112_cov_50.821430,GR6,28.061,
G3_NODE_1602606_length_4245_cov_9.111190,GR17,28.137,
G3_NODE_162019_length_2333_cov_8.967424,GR8,28.483,
G3_NODE_236393_length_1723_cov_22.672083,GR1,28.531,
G3_NODE_3137969_length_5626_cov_7.189655,GR1,28.611,
G3_NODE_2809858_length_2770_cov_9.392779,GR20,28.611,
G3_NODE_1433773_length_777_cov_12.938224,GR12,28.661,
G3_NODE_2392750_length_1962_cov_7.499490,GR8,28.761,
G3_NODE_88617_length_1321_cov_10.872824,GR2,28.986,
G3_NODE_2115393_length_1503_cov_8.604125,GR2,29.132,
G3_NODE_4661270_length_1865_cov_4.657372,GR20,29.161,
G3_NODE_4412273_length_174_cov_18.494253,GR13,29.277,
G3_NODE_5054310_length_3585_cov_6.916039,GR10,29.289,
G3_NODE_1581494_length_188_cov_17.414894,GR7,29.349,
G3_NODE_2402574_length_1228_cov_8.207655,GR18,29.451,
G3_NODE_174735_length_344_cov_9.011628,GR3,29.491,
G3_NODE_2445575_length_6318_cov_7.708611,GR14,29.584,
G3_NODE_874492_length_3613_cov_9.510379,GR4,29.638,
G3_NODE_1555435_length_5458_cov_7.729754,GR15,29.75,
G3_NODE_3726604_length_4196_cov_8.920639,GR18,29.894,
G3_NODE_318428_length_1225_cov_8.172245,GR7,30.038,
G3_NODE_1819832_length_1359_cov_7.764533,GR20,30.134,
G3_NODE_3270498_length_301_cov_12.196013,GR14,30.416,
G3_NODE_953755_length_542_cov_11.129151,GR7,30.437,
G3_NODE_4646176_length_943_cov_6.590668,GR20,30.461,
G3_NODE_3455847_length_794_cov_11.374056,GR6,30.718,
G3_NODE_1768417_length_1473_cov_8.585879,GR8,30.882,
G3_NODE_1118088_length_11752_cov_7.957709,GR13,30.97,
G3_NODE_3122584_length_2724_cov_6.502570,GR8,31.043,
G3_NODE_2446868_length_4129_cov_9.485106,GR9,31.156,
G3_NODE_1647862_length_1087_cov_13.048759,GR20,31.163,
G3_NODE_3319342_length_2265_cov_6.644150,GR7,31.187,
G3_NODE_1884084_length_708_cov_13.895480,GR1,31.401,
G3_NODE_3081521_length_3359_cov_7.536469,GR12,31.518,
G3_NODE_2278172_length_162_cov_14.956790,GR5,31.556,
G3_NODE_1724526_length_7037_cov_7.231491,GR7,31.632,
G3_NODE_2065468_length_4777_cov_9.299769,GR6,31.695,
G3_NODE_3292427_length_1776_cov_7.201577,GR10,31.75,
G3_NODE_1595342_length_2700_cov_8.569630,GR5,31.901,
G3_NODE_963430_length_1042_cov_13.201535,GR8,32.095,
G3_NODE_4186611_length_6458_cov_8.383091,GR20,32.099,
G3_NODE_1130653_length_2789_cov_10.958050,GR10,32.212,
G3_NODE_2195443_length_329_cov_13.358663,GR6,32.282,
G3_NODE_2641063_length_453_cov_13.898455,GR19,32.346,
G3_NODE_4030478_length_1802_cov_8.775805,GR14,32.514,
G3_NODE_385484_length_3546_cov_11.514665,GR20,32.58,
G3_NODE_2203267_length_914_cov_12.338075,GR2,32.611,
G3_NODE_3768270_length_203_cov_19.497538,GR11,32.662,
G3_NODE_2344136_length_6559_cov_8.174112,GR8,32.785,
G3_NODE_2636802_length_1244_cov_7.683280,GR11,32.909,
G3_NODE_1421442_length_2694_cov_8.999258,GR3,32.962,
G3_NODE_3021334_length_214_cov_9.495327,GR12,32.974,
G3_NODE_5453296_length_959_cov_7.298227,GR10,33.037,
G3_NODE_4018175_length_4228_cov_8.428335,GR15,33.076,
G3_NODE_3209117_length_1030_cov_9.101942,GR6,33.183,
G3_NODE_2126625_length_2930_cov_8.170307,GR20,33.253,
G3_NODE_2061934_length_1103_cov_7.376246,GR8,33.262,
G3_NODE_3792713_length_2342_cov_7.742101,GR16,33.311,
G3_NODE_5596058_length_149_cov_14.563759,GR13,33.486,
G3_NODE_1397083_length_621_cov_7.156199,GR10,33.562,
G3_NODE_3769468_length_3392_cov_8.074292,GR18,33.563,
G3_NODE_4137827_length_2636_cov_5.282625,GR7,33.576,
G3_NODE_3208043_length_537_cov_22.098696,GR10,34.096,
G3_NODE_386484_length_2728_cov_9.437683,GR6,34.268,
G3_NODE_4396151_length_6885_cov_8.548003,GR8,34.279,
G3_NODE_424503_length_1212_cov_9.038779,GR7,34.435,
G3_NODE_3603875_length_1656_cov_7.969807,GR20,34.626,
G3_NODE_1290115_length_570_cov_11.164912,GR15,34.681,
G3_NODE_5010270_length_5564_cov_9.286125,GR12,34.825,
G3_NODE_4650365_length_3833_cov_7.854944,GR13,34.944,
G3_NODE_1871181_length_1780_cov_8.517416,GR10,34.96,
G3_NODE_1602831_length_2182_cov_7.434006,GR3,35.237,
G3_NODE_3524089_length_5986_cov_7.885065,GR9,35.296,
G3_NODE_4975318_length_7767_cov_8.056521,GR1,35.306,
G3_NODE_4592141_length_1357_cov_9.059690,GR19,35.395,
G3_NODE_1086122_length_86_cov_23.081396,GR3,35.599,
G3_NODE_3165547_length_116_cov_6.534483,GR12,35.8,
G3_NODE_1877961_length_3271_cov_6.102415,GR14,35.853,
G3_NODE_3070661_length_1672_cov_6.480263,GR10,36.077,
G3_NODE_3513204_length_108_cov_13.898149,GR18,36.105,
G3_NODE_5586923_length_5882_cov_9.027032,GR10,36.189,
G3_NODE_4371301_length_1506_cov_6.490704,GR7,36.205,
G3_NODE_5290282_length_3054_cov_6.348723,GR8,36.231,
G3_NODE_412616_length_2420_cov_6.717769,GR11,36.308,
G3_NODE_5071370_length_1430_cov_5.294405,GR11,36.315,
G3_NODE_664384_length_950_cov_9.288421,GR20,36.348,
G3_NODE_51372_length_190_cov_11.063158,GR5,36.565,
G3_NODE_3580796_length_4712_cov_6.997241,GR6,36.686,
G3_NODE_1238623_length_870_cov_12.744827,GR8,36.686,
G3_NODE_6002808_length_1969_cov_7.026409,GR12,36.737,
G3_NODE_1941793_length_2891_cov_8.973020,GR6,36.944,
G3_NODE_2869810_length_2921_cov_7.124615,GR7,37.017,
G3_NODE_3671168_length_1393_cov_9.754487,GR12,37.029,
G3_NODE_1044195_length_2067_cov_10.985970,GR19,37.072,
G3_NODE_253266_length_2281_cov_9.358615,GR3,37.119,
G3_NODE_2276801_length_1483_cov_6.999326,GR18,37.127,
G3_NODE_3741759_length_590_cov_3.286441,GR7,37.209,
G3_NODE_5170539_length_749_cov_12.169559,GR16,37.233,
G3_NODE_1111792_length_1544_cov_6.634715,GR13,37.409,
G3_NODE_5458444_length_2608_cov_7.480445,GR9,37.59,
G3_NODE_4616455_length_397_cov_5.758186,GR10,37.659,
G3_NODE_1367863_length_1199_cov_10.746455,GR11,37.822,
G3_NODE_3746689_length_2572_cov_7.299378,GR20,37.877,
G3_NODE_256244_length_353_cov_10.439094,GR8,38.101,
G3_NODE_2241497_length_1329_cov_7.450715,GR3,38.111,
G3_NODE_2529774_length_1239_cov_10.873285,GR1,38.309,
G3_NODE_1473398_length_2891_cov_8.429263,GR3,38.321,
G3_NODE_1782480_length_2474_cov_8.104284,GR10,38.371,
G3_NODE_2564898_length_370_cov_6.535135,GR9,38.526,
G3_NODE_995408_length_789_cov_13.204056,GR18,38.656,
G3_NODE_2691076_length_244_cov_14.901639,GR6,38.993,
G3_NODE_1955024_length_356_cov_10.345506,GR15,39.04,
G3_NODE_639281_length_2510_cov_8.443027,GR14,39.076,
G3_NODE_2812003_length_1068_cov_8.343633,GR11,39.083,
G3_NODE_1062213_length_5067_cov_7.763568,GR19,39.118,
G3_NODE_1470044_length_928_cov_13.088362,GR8,39.127,
G3_NODE_4515042_length_3291_cov_8.272865,GR5,39.128,
G3_NODE_3885201_length_1213_cov_8.043694,GR12,39.164,
G3_NODE_1854025_length_931_cov_6.543501,GR20,39.188,
G3_NODE_670761_length_1141_cov_11.337423,GR4,39.238,
G3_NODE_891112_length_5660_cov_7.465371,GR3,39.313,
G3_NODE_413495_length_783_cov_12.180077,GR13,39.324,
G3_NODE_4281387_length_936_cov_6.184829,GR6,39.46,
G3_NODE_5018830_length_4975_cov_7.695477,GR7,39.476,
G3_NODE_595226_length_129_cov_12.255814,GR20,39.583,
G3_NODE_433806_length_6531_cov_9.355688,GR8,39.656,
G3_NODE_1029275_length_5554_cov_8.877386,GR4,39.677,
G3_NODE_5136627_length_992_cov_7.010081,GR8,39.723,
G3_NODE_4380536_length_69_cov_21.101450,GR8,39.921,
G3_NODE_1353209_length_2337_cov_7.628583,GR11,40.141,
G3_NODE_35074_length_1663_cov_11.262177,GR7,40.295,
G3_NODE_1902777_length_2254_cov_6.737800,GR16,40.493,
G3_NODE_858474_length_763_cov_11.124509,GR8,40.586,
G3_NODE_3400640_length_2264_cov_6.734540,GR2,40.606,
G3_NODE_4386548_length_1615_cov_6.821053,GR17,40.802,
G3_NODE_576493_length_4462_cov_9.510982,GR9,40.963,
G3_NODE_2022833_length_1154_cov_5.934142,GR8,41.118,
G3_NODE_89164_length_258_cov_13.298450,GR13,41.356,
G3_NODE_142315_length_1226_cov_8.141925,GR10,41.359,
G3_NODE_776095_length_4763_cov_8.168591,GR14,41.474,
G3_NODE_640230_length_926_cov_8.428725,GR11,41.524,
G3_NODE_2019418_length_1769_cov_11.092142,GR8,41.56,
G3_NODE_705580_length_3659_cov_11.080896,GR10,41.929,
G3_NODE_1884141_length_356_cov_10.853932,GR18,41.969,
G3_NODE_2859355_length_3159_cov_5.776512,GR2,42.317,
G3_NODE_889224_length_386_cov_18.834196,GR10,42.477,
G3_NODE_3363476_length_2403_cov_7.449022,GR8,42.477,
G3_NODE_198048_length_3261_cov_11.092609,GR4,42.54,
G3_NODE_686616_length_5463_cov_7.856672,GR11,42.738,
G3_NODE_936564_length_374_cov_15.419786,GR15,42.743,
G3_NODE_85340_length_697_cov_13.373027,GR19,42.797,
G3_NODE_2693580_length_62_cov_14.612904,GR8,42.976,
G3_NODE_2539857_length_2742_cov_7.708607,GR3,43.071,
G3_NODE_4851801_length_3835_cov_6.728814,GR18,43.072,
G3_NODE_59128_length_2115_cov_10.818913,GR8,43.134,
G3_NODE_2229096_length_1627_cov_9.432083,GR10,43.258,
G3_NODE_860924_length_2364_cov_7.711083,GR19,43.498,
G3_NODE_1483868_length_172_cov_19.040697,GR14,43.558,
G3_NODE_3549744_length_395_cov_19.620253,GR11,43.568,
G3_NODE_195917_length_1543_cov_11.025275,GR6,43.619,
G3_NODE_2098664_length_3703_cov_7.589792,GR8,43.724,
G3_NODE_2319772_length_289_cov_13.318339,GR20,43.831,
G3_NODE_1087733_length_350_cov_11.451428,GR7,43.951,
G3_NODE_106451_length_1657_cov_10.927580,GR6,44.082,
G3_NODE_3093621_length_1377_cov_7.688453,GR5,44.155,
G3_NODE_2476727_length_1622_cov_8.234895,GR12,44.189,
G3_NODE_853861_length_1182_cov_11.657360,GR16,44.195,
G3_NODE_2343319_length_2140_cov_6.580841,GR11,44.239,
G3_NODE_3217014_length_4037_cov_7.753035,GR19,44.418,
G3_NODE_1269306_length_356_cov_13.106742,GR8,44.441,
G3_NODE_3353851_length_2930_cov_6.953925,GR9,44.477,
G3_NODE_759910_length_2496_cov_9.667468,GR8,44.585,
G3_NODE_618876_length_4573_cov_8.198557,GR11,44.589,
G3_NODE_4819798_length_7201_cov_6.966393,GR20,44.745,
G3_NODE_4437171_length_735_cov_8.872108,GR11,44.832,
G3_NODE_2913057_length_2234_cov_7.436884,GR16,44.86,
G3_NODE_2359440_length_1108_cov_10.374549,GR15,45.226,
G3_NODE_4108309_length_268_cov_11.305970,GR9,45.245,
G3_NODE_3622132_length_317_cov_10.895899,GR20,45.369,
G3_NODE_762706_length_3435_cov_10.999417,GR18,45.554,
G3_NODE_1275989_length_2596_cov_9.113251,GR16,45.653,
G3_NODE_634004_length_3620_cov_9.612431,GR16,45.682,
G3_NODE_5538689_length_845_cov_6.861538,GR17,45.846,
G3_NODE_2380727_length_275_cov_4.658182,GR11,46.036,
G3_NODE_6100365_length_1308_cov_6.172783,GR8,46.05,
G3_NODE_223356_length_190_cov_82.305260,GR6,46.108,
G3_NODE_1241826_length_1282_cov_8.614665,GR8,46.265,
G3_NODE_3933731_length_492_cov_11.341463,GR11,46.374,
G3_NODE_301772_length_384_cov_11.598958,GR1,46.444,
G3_NODE_2116206_length_2683_cov_10.754752,GR8,46.53,
G3_NODE_4207348_length_1483_cov_6.695887,GR2,46.534,
G3_NODE_522497_length_2913_cov_10.090972,GR11,46.679,
G3_NODE_1351003_length_287_cov_24.923346,GR18,46.807,
G3_NODE_4119657_length_2633_cov_7.284466,GR12,46.866,
G3_NODE_1579544_length_523_cov_10.877629,GR9,46.961,
G3_NODE_1480358_length_956_cov_11.481172,GR11,47.14,
G3_NODE_1911253_length_333_cov_13.531531,GR16,47.161,
G3_NODE_1728372_length_679_cov_11.793815,GR19,47.197,
G3_NODE_4249161_length_1429_cov_6.474458,GR3,47.219,
G3_NODE_1317231_length_696_cov_12.139368,GR11,47.325,
G3_NODE_504941_length_8419_cov_7.257632,GR6,47.337,
G3_NODE_2290600_length_3339_cov_8.381252,GR18,47.437,
G3_NODE_3059377_length_830_cov_6.504819,GR9,47.576,
G3_NODE_2974725_length_1901_cov_8.195161,GR3,47.67,
G3_NODE_879239_length_1629_cov_10.375690,GR11,47.684,
G3_NODE_5996502_length_366_cov_11.423497,GR16,47.686,
G3_NODE_1877027_length_588_cov_5.598639,GR4,47.734,
G3_NODE_2575618_length_1773_cov_9.946419,GR16,47.751,
G3_NODE_1537701_length_2938_cov_10.525528,GR11,47.879,
G3_NODE_1273334_length_2281_cov_7.690925,GR2,47.886,
G3_NODE_5188916_length_1288_cov_5.829193,GR13,47.905,
G3_NODE_2103034_length_1059_cov_9.000000,GR12,48.079,
G3_NODE_375734_length_2769_cov_9.949440,GR15,48.079,
G3_NODE_2780213_length_216_cov_12.000000,GR19,48.231,
G3_NODE_2554601_length_2286_cov_6.818460,GR5,48.243,
G3_NODE_701815_length_2805_cov_11.339038,GR3,48.268,
G3_NODE_861014_length_875_cov_6.592000,GR16,48.311,
G3_NODE_2300716_length_1219_cov_4.698113,GR18,48.39,
G3_NODE_3953506_length_957_cov_5.054337,GR9,48.461,
G3_NODE_2348269_length_3805_cov_8.016820,GR11,48.512,
G3_NODE_1637713_length_551_cov_15.546280,GR7,48.556,
G3_NODE_4149822_length_3408_cov_6.806338,GR20,48.561,
G3_NODE_1452143_length_873_cov_11.853379,GR2,48.801,
G3_NODE_590559_length_2124_cov_8.058851,GR10,48.83,
G3_NODE_1987756_length_5518_cov_7.043313,GR11,48.835,
G3_NODE_3632834_length_599_cov_14.562604,GR14,48.843,
G3_NODE_409585_length_2895_cov_8.502245,GR10,48.942,
G3_NODE_2614538_length_3444_cov_6.729094,GR11,49.046,
