adventure,romance,action,thriller,comedy,drama,director_name,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
1,0,1,1,0,0,BrettRatner,104,560,KelseyGrammer,20000,234360014,Action|Adventure|Fantasy|Sci-Fi|Thriller,HughJackman,X-Men:TheLastStand ,21714,DanielCudmore,English,Canada,PG-13,210000000,2006,808,6.8,0
1,0,0,0,1,0,DanScanlon,104,760,TylerLabine,12000,268488329,Adventure|Animation|Comedy|Family|Fantasy,SteveBuscemi,MonstersUniversity ,14863,SeanHayes,English,USA,G,200000000,2013,779,7.3,44000
1,0,1,0,0,0,MichaelBay,150,464,KevinDunn,894,402076689,Action|Adventure|Sci-Fi,GlennMorshower,Transformers:RevengeoftheFallen ,3218,RamonRodriguez,English,USA,PG-13,200000000,2009,581,6.0,0
1,0,1,0,0,0,MichaelBay,165,808,SophiaMyles,974,245428137,Action|Adventure|Sci-Fi,BingbingLi,Transformers:AgeofExtinction ,3988,KelseyGrammer,English,USA,PG-13,210000000,2014,956,5.7,56000
1,0,0,0,0,0,SamRaimi,130,11000,MilaKunis,44000,234903076,Adventure|Family|Fantasy,TimHolmes,OztheGreatandPowerful ,73441,JamesFranco,English,USA,PG,215000000,2013,15000,6.4,60000
1,0,1,0,0,0,MarcWebb,142,825,AndrewGarfield,15000,202853933,Action|Adventure|Fantasy|Sci-Fi,EmmaStone,TheAmazingSpider-Man2 ,28631,B.J.Novak,English,USA,PG-13,200000000,2014,10000,6.7,41000
1,0,1,0,0,0,JosephKosinski,125,1000,OliviaWilde,12000,172051787,Action|Adventure|Sci-Fi,JeffBridges,TRON:Legacy ,25550,JamesFrain,English,USA,PG,170000000,2010,10000,6.8,30000
1,0,0,0,1,0,JohnLasseter,106,776,ThomasKretschmann,1000,191450875,Adventure|Animation|Comedy|Family|Sport,JoeMantegna,Cars2 ,4482,EddieIzzard,English,USA,G,200000000,2011,919,6.3,10000
1,0,1,0,0,0,MartinCampbell,123,326,TemueraMorrison,16000,116593191,Action|Adventure|Sci-Fi,RyanReynolds,GreenLantern ,17657,TaikaWaititi,English,USA,PG-13,200000000,2011,368,5.6,24000
1,0,0,0,1,0,LeeUnkrich,103,721,JohnRatzenberger,15000,414984497,Adventure|Animation|Comedy|Family|Fantasy,TomHanks,ToyStory3 ,19085,DonRickles,English,USA,G,200000000,2010,1000,8.3,30000
1,0,1,0,0,0,McG,118,988,BryceDallasHoward,23000,125320003,Action|Adventure|Sci-Fi,ChristianBale,TerminatorSalvation ,27468,Common,English,USA,PG-13,200000000,2009,3000,6.6,0
0,0,1,1,0,0,JamesWan,140,14000,PaulWalker,26000,350034110,Action|Crime|Thriller,JasonStatham,Furious7 ,79150,VinDiesel,English,USA,PG-13,190000000,2015,23000,7.2,94000
1,0,1,1,0,0,MarcForster,123,1000,BradPitt,17000,202351611,Action|Adventure|Horror|Sci-Fi|Thriller,PeterCapaldi,WorldWarZ ,32392,MireilleEnos,English,USA,PG-13,190000000,2013,11000,7.0,129000
1,0,1,1,0,0,BryanSinger,149,20000,PeterDinklage,34000,233914986,Action|Adventure|Fantasy|Sci-Fi|Thriller,JenniferLawrence,X-Men:DaysofFuturePast ,91434,HughJackman,English,USA,PG-13,200000000,2014,22000,8.0,82000
1,0,1,0,0,0,J.J.Abrams,132,928,BruceGreenwood,19000,228756232,Action|Adventure|Sci-Fi,BenedictCumberbatch,StarTrekIntoDarkness ,21411,NoelClarke,English,USA,PG-13,190000000,2013,981,7.8,92000
1,0,0,0,0,0,BryanSinger,114,140,EwenBremner,979,65171860,Adventure|Fantasy,EddieMarsan,JacktheGiantSlayer ,1766,RalphBrown,English,USA,PG-13,195000000,2013,557,6.3,22000
0,1,0,0,0,1,BazLuhrmann,143,77,ElizabethDebicki,29000,144812796,Drama|Romance,LeonardoDiCaprio,TheGreatGatsby ,29770,SteveBisley,English,Australia,PG-13,105000000,2013,509,7.3,115000
1,1,1,0,0,0,MikeNewell,116,236,RichardCoyle,15000,90755643,Action|Adventure|Fantasy|Romance,JakeGyllenhaal,PrinceofPersia:TheSandsofTime ,16149,ReeceRitchie,English,USA,PG-13,200000000,2010,567,6.6,23000
1,0,1,0,0,0,GuillermodelToro,131,919,CliftonCollinsJr.,16000,101785482,Action|Adventure|Sci-Fi,CharlieHunnam,PacificRim ,19166,LarryJoeCampbell,English,USA,PG-13,190000000,2013,968,7.0,83000
1,0,1,0,0,0,MichaelBay,154,581,LesterSpeight,894,352358779,Action|Adventure|Sci-Fi,GlennMorshower,Transformers:DarkoftheMoon ,2593,KevinDunn,English,USA,PG-13,195000000,2011,829,6.3,46000
1,0,1,0,0,0,StevenSpielberg,122,1000,RayWinstone,11000,317011114,Action|Adventure|Fantasy,HarrisonFord,IndianaJonesandtheKingdomoftheCrystalSkull ,14959,JimBroadbent,English,USA,PG-13,185000000,2008,1000,6.2,5000
1,0,0,0,1,0,MarkAndrews,93,838,JohnRatzenberger,2000,237282182,Adventure|Animation|Comedy|Family|Fantasy,KellyMacdonald,Brave ,5005,JulieWalters,English,USA,PG,185000000,2012,1000,7.2,39000
1,0,1,1,0,0,JustinLin,122,105,MelissaRoxburgh,998,130468626,Action|Adventure|Sci-Fi|Thriller,SofiaBoutella,StarTrekBeyond ,1327,LydiaWilson,English,USA,PG-13,185000000,2016,119,7.5,30000
1,0,0,0,0,0,AndrewStanton,98,522,FredWillard,1000,223806889,Adventure|Animation|Family|Sci-Fi,JohnRatzenberger,WALL·E ,2975,JeffGarlin,English,USA,G,180000000,2008,729,8.4,16000
0,0,1,1,1,0,BrettRatner,91,173,DanaIvey,268,140080850,Action|Comedy|Crime|Thriller,TziMa,RushHour3 ,1125,NoémieLenoir,English,USA,PG-13,140000000,2007,268,6.2,0
1,0,1,0,0,0,RolandEmmerich,158,310,LiamJames,1000,166112167,Action|Adventure|Sci-Fi,OliverPlatt,2012 ,2144,TomMcCarthy,English,USA,PG-13,200000000,2009,468,5.8,13000
0,0,0,0,0,1,RobertZemeckis,96,10000,ColinFirth,18000,137850096,Animation|Drama|Family|Fantasy,RobinWright,AChristmasCarol ,48878,GaryOldman,English,USA,PG,200000000,2009,14000,6.8,0
1,0,1,0,0,0,LanaWachowski,127,13000,MilaKunis,17000,47375327,Action|Adventure|Sci-Fi,ChanningTatum,JupiterAscending ,47334,EddieRedmayne,English,USA,PG-13,176000000,2015,15000,5.4,44000
1,1,1,0,0,1,DavidYates,110,103,AlexanderSkarsgård,11000,124051759,Action|Adventure|Drama|Romance,ChristophWaltz,TheLegendofTarzan ,21175,CasperCrump,English,USA,PG-13,180000000,2016,10000,6.6,29000
