Assay_Type_s	AvgSpotLen_l	BioProject_s	BioSample_s	Experiment_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	Platform_s	ReleaseDate_s	Run_s	SRA_Sample_s	SRA_Study_s	Sample_Name_s	Center_Name_s	Consent_s	LibrarySource_s
EST	76	PRJNA75285	SAMN00003038	SRX008206	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. L3 stage larvae, dark blue gut PS(1-2)	2014-05-26	478	341	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023758	SRS004686	SRP001065	L3 stage larvae, dark blue gut PS(1-2)	BDGP	public	TRANSCRIPTOMIC
EST	75	PRJNA75285	SAMN00003038	SRX008220	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. L3 stage larvae, dark blue gut PS(1-2)	2014-05-26	599	433	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023697	SRS004686	SRP001065	L3 stage larvae, dark blue gut PS(1-2)	BDGP	public	TRANSCRIPTOMIC
EST	75	PRJNA75285	SAMN00003038	SRX008184	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. L3 stage larvae, dark blue gut PS(1-2)	2014-05-26	541	400	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023726	SRS004686	SRP001065	L3 stage larvae, dark blue gut PS(1-2)	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003038	SRX008267	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. L3 stage larvae, dark blue gut PS(1-2)	2014-05-26	584	396	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023640	SRS004686	SRP001065	L3 stage larvae, dark blue gut PS(1-2)	BDGP	public	TRANSCRIPTOMIC
EST	152	PRJNA75285	SAMN00003038	SRX008029	250	Illumina Genome Analyzer	PAIRED	cDNA	D.mel. L3 stage larvae, dark blue gut PS(1-2)	2014-05-26	1294	888	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023546	SRS004686	SRP001065	L3 stage larvae, dark blue gut PS(1-2)	BDGP	public	TRANSCRIPTOMIC
EST	152	PRJNA75285	SAMN00003038	SRX008029	250	Illumina Genome Analyzer	PAIRED	cDNA	D.mel. L3 stage larvae, dark blue gut PS(1-2)	2014-05-26	1722	1076	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023608	SRS004686	SRP001065	L3 stage larvae, dark blue gut PS(1-2)	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003038	SRX008206	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. L3 stage larvae, dark blue gut PS(1-2)	2014-05-26	438	276	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023638	SRS004686	SRP001065	L3 stage larvae, dark blue gut PS(1-2)	BDGP	public	TRANSCRIPTOMIC
EST	152	PRJNA75285	SAMN00003039	SRX008014	250	Illumina Genome Analyzer	PAIRED	cDNA	D.mel. L3 stage larvae, light blue gut PS(3-6)	2014-05-26	1211	801	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023505	SRS004687	SRP001065	L3 stage larvae, light blue gut PS(3-6)	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003039	SRX008182	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. L3 stage larvae, light blue gut PS(3-6)	2014-05-26	725	522	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023742	SRS004687	SRP001065	L3 stage larvae, light blue gut PS(3-6)	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003039	SRX008182	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. L3 stage larvae, light blue gut PS(3-6)	2014-05-26	885	613	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023683	SRS004687	SRP001065	L3 stage larvae, light blue gut PS(3-6)	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003039	SRX008187	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. L3 stage larvae, light blue gut PS(3-6)	2014-05-26	502	353	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023692	SRS004687	SRP001065	L3 stage larvae, light blue gut PS(3-6)	BDGP	public	TRANSCRIPTOMIC
EST	75	PRJNA75285	SAMN00003039	SRX008189	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. L3 stage larvae, light blue gut PS(3-6)	2014-05-26	521	370	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023676	SRS004687	SRP001065	L3 stage larvae, light blue gut PS(3-6)	BDGP	public	TRANSCRIPTOMIC
EST	75	PRJNA75285	SAMN00003039	SRX008200	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. L3 stage larvae, light blue gut PS(3-6)	2014-05-26	463	328	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023690	SRS004687	SRP001065	L3 stage larvae, light blue gut PS(3-6)	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003040	SRX008228	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult female, 1 day after eclosion	2014-05-26	941	669	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023828	SRS004689	SRP001065	adult female, 1 day after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003040	SRX008188	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult female, 1 day after eclosion	2014-05-26	728	499	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023680	SRS004689	SRP001065	adult female, 1 day after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	75	PRJNA75285	SAMN00003040	SRX008188	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult female, 1 day after eclosion	2014-05-26	854	644	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023702	SRS004689	SRP001065	adult female, 1 day after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003040	SRX008197	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult female, 1 day after eclosion	2014-05-26	1056	730	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023737	SRS004689	SRP001065	adult female, 1 day after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	152	PRJNA75285	SAMN00003040	SRX008013	250	Illumina Genome Analyzer	PAIRED	cDNA	D.mel. adult female, 1 day after eclosion	2014-05-26	2358	1612	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023595	SRS004689	SRP001065	adult female, 1 day after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003040	SRX008197	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult female, 1 day after eclosion	2014-05-26	1042	735	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023662	SRS004689	SRP001065	adult female, 1 day after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003041	SRX008185	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult female, 30 days after eclosion	2014-05-26	488	352	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023674	SRS004692	SRP001065	adult female, 30 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	152	PRJNA75285	SAMN00003041	SRX008022	250	Illumina Genome Analyzer	PAIRED	cDNA	D.mel. adult female, 30 days after eclosion	2014-05-26	1828	1142	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023598	SRS004692	SRP001065	adult female, 30 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	152	PRJNA75285	SAMN00003041	SRX008022	250	Illumina Genome Analyzer	PAIRED	cDNA	D.mel. adult female, 30 days after eclosion	2014-05-26	748	508	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023548	SRS004692	SRP001065	adult female, 30 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	75	PRJNA75285	SAMN00003041	SRX008183	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult female, 30 days after eclosion	2014-05-26	592	442	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023712	SRS004692	SRP001065	adult female, 30 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003041	SRX008185	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult female, 30 days after eclosion	2014-05-26	466	332	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023681	SRS004692	SRP001065	adult female, 30 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	75	PRJNA75285	SAMN00003041	SRX008216	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult female, 30 days after eclosion	2014-05-26	628	460	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023757	SRS004692	SRP001065	adult female, 30 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	75	PRJNA75285	SAMN00003042	SRX008173	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult female, 5 days after eclosion	2014-05-26	554	412	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023717	SRS004693	SRP001065	adult female, 5 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003042	SRX008195	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult female, 5 days after eclosion	2014-05-26	658	491	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023730	SRS004693	SRP001065	adult female, 5 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	152	PRJNA75285	SAMN00003042	SRX008024	250	Illumina Genome Analyzer	PAIRED	cDNA	D.mel. adult female, 5 days after eclosion	2014-05-26	572	386	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023547	SRS004693	SRP001065	adult female, 5 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	152	PRJNA75285	SAMN00003042	SRX008024	250	Illumina Genome Analyzer	PAIRED	cDNA	D.mel. adult female, 5 days after eclosion	2014-05-26	2034	1227	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023607	SRS004693	SRP001065	adult female, 5 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	75	PRJNA75285	SAMN00003042	SRX008254	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult female, 5 days after eclosion	2014-05-26	599	438	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023645	SRS004693	SRP001065	adult female, 5 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003042	SRX008202	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult female, 5 days after eclosion	2014-05-26	612	441	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023651	SRS004693	SRP001065	adult female, 5 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003043	SRX016332	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult male, 1 day after eclosion	2014-05-26	1039	720	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023648	SRS004695	SRP001065	adult male, 1 day after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003043	SRX008170	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult male, 1 day after eclosion	2014-05-26	834	587	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023664	SRS004695	SRP001065	adult male, 1 day after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	152	PRJNA75285	SAMN00003043	SRX008012	250	Illumina Genome Analyzer	PAIRED	cDNA	D.mel. adult male, 1 day after eclosion	2014-05-26	2395	1675	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023543	SRS004695	SRP001065	adult male, 1 day after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003043	SRX008268	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult male, 1 day after eclosion	2014-05-26	790	547	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023741	SRS004695	SRP001065	adult male, 1 day after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	75	PRJNA75285	SAMN00003043	SRX008170	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult male, 1 day after eclosion	2014-05-26	857	648	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023678	SRS004695	SRP001065	adult male, 1 day after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003043	SRX008263	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult male, 1 day after eclosion	2014-05-26	1016	733	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023825	SRS004695	SRP001065	adult male, 1 day after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	75	PRJNA75285	SAMN00003044	SRX008203	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult male, 5 days after eclosion	2014-05-26	555	412	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023679	SRS004696	SRP001065	adult male, 5 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	75	PRJNA75285	SAMN00003044	SRX008226	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult male, 5 days after eclosion	2014-05-26	385	278	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023713	SRS004696	SRP001065	adult male, 5 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	152	PRJNA75285	SAMN00003044	SRX008021	250	Illumina Genome Analyzer	PAIRED	cDNA	D.mel. adult male, 5 days after eclosion	2014-05-26	90	51	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023550	SRS004696	SRP001065	adult male, 5 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	152	PRJNA75285	SAMN00003044	SRX008021	250	Illumina Genome Analyzer	PAIRED	cDNA	D.mel. adult male, 5 days after eclosion	2014-05-26	1004	665	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023605	SRS004696	SRP001065	adult male, 5 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	152	PRJNA75285	SAMN00003044	SRX008021	250	Illumina Genome Analyzer	PAIRED	cDNA	D.mel. adult male, 5 days after eclosion	2014-05-26	1366	902	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023606	SRS004696	SRP001065	adult male, 5 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003044	SRX008229	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult male, 5 days after eclosion	2014-05-26	969	665	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023672	SRS004696	SRP001065	adult male, 5 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003044	SRX008232	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult male, 5 days after eclosion	2014-05-26	277	194	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023658	SRS004696	SRP001065	adult male, 5 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003044	SRX008232	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult male, 5 days after eclosion	2014-05-26	267	188	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023642	SRS004696	SRP001065	adult male, 5 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	75	PRJNA75285	SAMN00003045	SRX008223	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult male, 30 days after eclosion	2014-05-26	907	680	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023650	SRS004697	SRP001065	adult male, 30 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	152	PRJNA75285	SAMN00003045	SRX008028	250	Illumina Genome Analyzer	PAIRED	cDNA	D.mel. adult male, 30 days after eclosion	2014-05-26	2599	1771	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023601	SRS004697	SRP001065	adult male, 30 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003045	SRX008260	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult male, 30 days after eclosion	2014-05-26	994	688	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023714	SRS004697	SRP001065	adult male, 30 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003045	SRX008223	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult male, 30 days after eclosion	2014-05-26	828	569	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023698	SRS004697	SRP001065	adult male, 30 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003045	SRX008260	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult male, 30 days after eclosion	2014-05-26	787	541	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023752	SRS004697	SRP001065	adult male, 30 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003045	SRX008191	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. adult male, 30 days after eclosion	2014-05-26	821	584	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023823	SRS004697	SRP001065	adult male, 30 days after eclosion	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003046	SRX008248	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. pupae, 12 hr after WPP	2014-05-26	1064	767	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023833	SRS004701	SRP001065	pupae, 12 hr after WPP	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003046	SRX008275	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. pupae, 12 hr after WPP	2014-05-26	755	507	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023689	SRS004701	SRP001065	pupae, 12 hr after WPP	BDGP	public	TRANSCRIPTOMIC
EST	75	PRJNA75285	SAMN00003046	SRX008246	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. pupae, 12 hr after WPP	2014-05-26	905	680	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023716	SRS004701	SRP001065	pupae, 12 hr after WPP	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003046	SRX008218	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. pupae, 12 hr after WPP	2014-05-26	734	521	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023639	SRS004701	SRP001065	pupae, 12 hr after WPP	BDGP	public	TRANSCRIPTOMIC
EST	152	PRJNA75285	SAMN00003046	SRX008023	250	Illumina Genome Analyzer	PAIRED	cDNA	D.mel. pupae, 12 hr after WPP	2014-05-26	2532	1763	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023544	SRS004701	SRP001065	pupae, 12 hr after WPP	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003046	SRX008246	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. pupae, 12 hr after WPP	2014-05-26	810	529	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023647	SRS004701	SRP001065	pupae, 12 hr after WPP	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003047	SRX008192	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. pupae, 24 hrs after WPP	2014-05-26	756	508	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023656	SRS004702	SRP001065	pupae, 24 hrs after WPP	BDGP	public	TRANSCRIPTOMIC
EST	152	PRJNA75285	SAMN00003047	SRX008016	250	Illumina Genome Analyzer	PAIRED	cDNA	D.mel. pupae, 24 hrs after WPP	2014-05-26	2090	1468	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023541	SRS004702	SRP001065	pupae, 24 hrs after WPP	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003047	SRX008236	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. pupae, 24 hrs after WPP	2014-05-26	1158	818	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023708	SRS004702	SRP001065	pupae, 24 hrs after WPP	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003047	SRX008264	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. pupae, 24 hrs after WPP	2014-05-26	1129	819	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023830	SRS004702	SRP001065	pupae, 24 hrs after WPP	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003047	SRX008219	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. pupae, 24 hrs after WPP	2014-05-26	883	642	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023756	SRS004702	SRP001065	pupae, 24 hrs after WPP	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003048	SRX008270	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. pupae, 4 days after WPP	2014-05-26	1056	762	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023827	SRS004703	SRP001065	pupae, 4 days after WPP	BDGP	public	TRANSCRIPTOMIC
EST	75	PRJNA75285	SAMN00003048	SRX008209	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. pupae, 4 days after WPP	2014-05-26	790	593	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023723	SRS004703	SRP001065	pupae, 4 days after WPP	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003048	SRX008230	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. pupae, 4 days after WPP	2014-05-26	1009	695	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023740	SRS004703	SRP001065	pupae, 4 days after WPP	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003048	SRX008209	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. pupae, 4 days after WPP	2014-05-26	727	501	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023735	SRS004703	SRP001065	pupae, 4 days after WPP	BDGP	public	TRANSCRIPTOMIC
EST	152	PRJNA75285	SAMN00003048	SRX008017	250	Illumina Genome Analyzer	PAIRED	cDNA	D.mel. pupae, 4 days after WPP	2014-05-26	2372	1623	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023609	SRS004703	SRP001065	pupae, 4 days after WPP	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003048	SRX008230	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. pupae, 4 days after WPP	2014-05-26	1006	702	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023653	SRS004703	SRP001065	pupae, 4 days after WPP	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003083	SRX008199	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. L3 stage larvae, clear gut PS(7-9)	2014-05-26	1064	748	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023739	SRS004867	SRP001065	L3 stage larvae, clear gut PS(7-9)	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003083	SRX008199	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. L3 stage larvae, clear gut PS(7-9)	2014-05-26	966	703	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023729	SRS004867	SRP001065	L3 stage larvae, clear gut PS(7-9)	BDGP	public	TRANSCRIPTOMIC
EST	76	PRJNA75285	SAMN00003083	SRX008253	0	Illumina Genome Analyzer II	SINGLE	cDNA	D.mel. L3 stage larvae, clear gut PS(7-9)	2014-05-26	1160	817	Drosophila melanogaster	ILLUMINA	2009-09-15	SRR023782	SRS004867	SRP001065	L3 stage larvae, clear gut PS(7-9)	BDGP	public	TRANSCRIPTOMIC
